,ID,Start time,Completion time,Email,Name,Last modified time,Consent 1,Consent 2,Consent 3,Consent 4,Prolific or Email,Education,AI Knowledge,Age,AI Deceptive,AI Honest,AI Suspicious,AI Weary,AI Harm,AI Confident,AI Security,AI Trustworthy,AI Reliable,AI Trust,AI systems are 1,AI systems are 2,AI systems are 3,AI systems are 4,AI systems are 5,AI systems are 6,AI systems are 7,AI systems are 8,AI systems are 9,AI Weary Post,AI Confident Post,AI Suspicious Post,AI Trust Post,AI Harm Post,AI Honest Post,AI Security Post,AI Deceptive Post,AI Reliable Post,AI Trustworthy Post,AI systems are 1 Post,AI systems are 2 Post,AI systems are 3 Post,AI systems are 4 Post,AI systems are 5 Post,AI systems are 6 Post,AI systems are 7 Post,AI systems are 8 Post,AI systems are 9 Post,AI Feel Post,AI Understand Post,AI Job Post,Condition,Interactive Page Title List,Interactive Section Title List,Interactive Section Index List,Interactive Original Text List,Interactive Updated Text List,Response Section Title List,Response Section Index List,Response Text List,Response Created At List,Response Updated At List,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Ethnicity,Age_demographic,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
10,13,2026-02-12 15:35:46,2026-02-12 15:39:35,anonymous,,,Yes,Yes,Yes,I agree,611cef2658a262a018829246,Bachelor,Advanced,24,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Empathetic ,Sensitive,Personal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Altruistic,Sensitive,Caring,Responsive,Personal,Open-Minded,Empathetic ,Patient,Cordial,Confident and safe ,No,I wouldn't be so pleased unless a person also does some screening ,Interactive,[],[],[],[],[],[],[],[],[],[],698de5231e9d19dd21878ee8,611cef2658a262a018829246,APPROVED,Not Applicable,2026-02-12T14:35:39.412000Z,2026-02-12T14:40:31.435000Z,2026-03-05T00:08:31.130000Z,2026-02-12T14:40:32.344521Z,293.0,NOCODE,657.0,Man (including Trans Male/Trans Man),African,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
12,15,2026-02-12 15:38:20,2026-02-12 15:49:20,anonymous,,,Yes,Yes,Yes,I agree,672fa266b79ea8f700673843,Bachelor,Advanced,24,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Altruistic,Sensitive,Caring,Responsive,Personal,Open-Minded,Empathetic ,Patient,Cordial,Happy,Yes,Happy ,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['That AI that can do everything ', 'Bert doesn’t know anything about places', 'Bert don’t just learn neutral language patterns ', 'That we can reduce certain correlations in a relatively way']","['2026-02-12 14:42:47.312674', '2026-02-12 14:43:59.366408', '2026-02-12 14:45:40.117553', '2026-02-12 14:47:05.738373']","['2026-02-12 14:42:47.312674', '2026-02-12 14:43:59.366408', '2026-02-12 14:45:40.117553', '2026-02-12 14:47:05.738373']",698de5be39fbdb749b8618c4,672fa266b79ea8f700673843,APPROVED,Not Applicable,2026-02-12T14:38:14.841000Z,2026-02-12T14:50:01.316000Z,2026-03-05T00:09:25.136000Z,2026-02-12T14:50:02.154028Z,707.0,GZXOXCO7M8,534.0,Man (including Trans Male/Trans Man),Black/African American,24,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
13,16,2026-02-12 15:38:39,2026-02-12 15:49:28,anonymous,,,Yes,Yes,Yes,I agree,69123a8aa5120931db0244b7,Bachelor,Advanced,43,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Apathetic,Insensitive,Impersonal,Ignoring,Self-Serving,Cordial,Indifferent,Judgmental,Patient,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Self-Serving,Insensitive,Ignoring,Indifferent,Impersonal,Judgmental,Apathetic,Patient,Cordial,"Doubtful, It sounds suspicious to me",I don't think I can really trust a model,"Terrible, i had this experience in the past and it was not good",Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['LLMs can predict the output word based on learning', 'The data provided by the LLM can be compared to other data to better understand the results', 'LLMs can create dangerous correlations and bias', 'We can train LLMs to avoid situations where it can be confused by adjusting the language']","['2026-02-12 14:41:27.136863', '2026-02-12 14:43:25.939919', '2026-02-12 14:44:54.611471', '2026-02-12 14:46:36.817886']","['2026-02-12 14:41:27.136863', '2026-02-12 14:43:25.939919', '2026-02-12 14:44:54.611471', '2026-02-12 14:46:36.817886']",698de5cfe21413634c05fed9,69123a8aa5120931db0244b7,APPROVED,Not Applicable,2026-02-12T14:38:17.803000Z,2026-02-12T14:46:51.698000Z,2026-03-05T00:07:38.420000Z,2026-02-12T14:46:52.543488Z,514.0,QLPGGA2LKC,272.0,Man (including Trans Male/Trans Man),Latino/Hispanic,43,Male,White,Brazil,Brazil,Brazil,Portuguese,No,Part-Time
14,17,2026-02-12 15:44:20,2026-02-12 15:52:49,anonymous,,,Yes,Yes,Yes,I agree,69864dc087ef3a39bb2d1bd1,Bachelor,Conceptual understanding,23,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Empathetic ,Sensitive,Impersonal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Altruistic,Sensitive,Caring,Responsive,Impersonal,Open-Minded,Empathetic ,Patient,Cordial,Pretty much that its taking over the world right now,No,Fine,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', 'Cattle or Clothes? Regional Patterns', 'How Can We Fix This?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3]","['i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text', 'i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text', 'i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text', 'i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text', 'i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text', 'i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text', 'i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text\n', 'i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text', 'i learned that language models are trained by predicting missing words in sentences, and they learn patterns in language through repeated exposure to large amounts of text\n', 'I learned that language models are trained by predicting missing words in sentences', 'BERT knows statistical patterns about different regions based on its training data, such as common products , behaviors or preference', 'BERT knows statistical patterns about different regions based on its training data, such as common products , behaviors or preference', 'BERT knows statistical patterns about different regions based on its training data, such as common products , behaviors or preference']","['2026-02-12 14:48:48.137282', '2026-02-12 14:48:48.137803', '2026-02-12 14:48:48.142464', '2026-02-12 14:48:48.164435', '2026-02-12 14:48:48.168951', '2026-02-12 14:48:48.440984', '2026-02-12 14:48:48.446368', '2026-02-12 14:48:48.449978', '2026-02-12 14:48:48.464784', '2026-02-12 14:49:24.345264', '2026-02-12 14:50:44.364635', '2026-02-12 14:50:44.468274', '2026-02-12 14:50:50.010234']","['2026-02-12 14:48:48.137282', '2026-02-12 14:48:48.137803', '2026-02-12 14:48:48.142464', '2026-02-12 14:48:48.164435', '2026-02-12 14:48:48.168951', '2026-02-12 14:48:48.440984', '2026-02-12 14:48:48.446368', '2026-02-12 14:48:48.449978', '2026-02-12 14:48:48.464784', '2026-02-12 14:49:24.345264', '2026-02-12 14:50:44.364635', '2026-02-12 14:50:44.468274', '2026-02-12 14:50:50.010234']",698de70940dc116e7fedac11,69864dc087ef3a39bb2d1bd1,APPROVED,Not Applicable,2026-02-12T14:43:38.329000Z,2026-02-12T14:54:13.858000Z,2026-03-05T00:08:55.199000Z,2026-02-12T14:54:14.649963Z,636.0,MUT39CYOR3,4.0,Man (including Trans Male/Trans Man),South Asian,23,Male,Asian,India,India,India,Tamil,No,Due to start a new job within the next month
15,18,2026-02-12 15:43:54,2026-02-12 15:54:41,anonymous,,,Yes,Yes,Yes,I agree,69313f9e8d654dcc2ad1f842,Master,Conceptual understanding,28,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Apathetic,Insensitive,Impersonal,Ignoring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Altruistic,Insensitive,Caring,Responsive,Impersonal,Open-Minded,Apathetic,Patient,Cordial,This is familiar information,Depends on to what extent you want to understand the model,In most cases this would feel bad as I don't know on what data this model has been trained on,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['How BERT is trained', 'Each word is assigned a probability based on how likely it will appear in the empty spot', 'BERT finds associations between words or concepts based on the training data. Finding out why a certain output is given is still difficult, so there are risks involved with deploying this everywhere.', 'Clear explanation of risks behind these language models, gives a good idea of what you need to be aware of when using them.']","['2026-02-12 14:47:08.380358', '2026-02-12 14:48:03.888009', '2026-02-12 14:50:17.815801', '2026-02-12 14:51:33.748123']","['2026-02-12 14:47:08.380358', '2026-02-12 14:48:03.888009', '2026-02-12 14:50:17.815801', '2026-02-12 14:51:33.748123']",698de724d5de7afc6d4e47b3,69313f9e8d654dcc2ad1f842,APPROVED,Not Applicable,2026-02-12T14:43:52.283000Z,2026-02-12T14:55:27.341000Z,2026-03-05T00:08:27.474000Z,2026-02-12T14:55:28.177368Z,696.0,E7ACA4QFXM,48.0,Man (including Trans Male/Trans Man),East Asian,28,Male,Asian,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
16,19,2026-02-12 15:42:17,2026-02-12 15:55:18,anonymous,,,Yes,Yes,Yes,I agree,69124176667ec0990dfb9da1,Graduate Professional Degree,Conceptual understanding,24,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Altruistic,Sensitive,Caring,Responsive,Personal,Open-Minded,Empathetic ,Patient,Cordial,Nice to understand a bit more on how it works.,"The more I understand, the more I trust.",Indifferent. They already do that.,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['an overview of how a llm works', ""it's based on probability."", 'llms may be influenced by stereotypes.', 'llms can be trained to reduce bias.']","['2026-02-12 14:47:08.365185', '2026-02-12 14:48:55.292892', '2026-02-12 14:51:14.425615', '2026-02-12 14:52:11.73687']","['2026-02-12 14:47:08.365185', '2026-02-12 14:48:55.292892', '2026-02-12 14:51:14.425615', '2026-02-12 14:52:11.73687']",698de6915ea9e8186736a975,69124176667ec0990dfb9da1,APPROVED,Not Applicable,2026-02-12T14:42:12.246000Z,2026-02-12T14:56:07.993000Z,2026-03-05T00:07:39.895000Z,2026-02-12T14:56:08.862719Z,836.0,6A9IFWQLZ2,137.0,Man (including Trans Male/Trans Man),Latino/Hispanic,24,Male,Mixed,Brazil,Brazil,Brazil,Portuguese,No,Unemployed (and job seeking)
18,22,2026-02-12 15:41:15,2026-02-12 15:55:33,anonymous,,,Yes,Yes,Yes,I agree,6981f0c2f8e74fb4346c1518,Bachelor,Conceptual understanding,27,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Altruistic,Sensitive,Caring,Responsive,Impersonal,Open-Minded,Empathetic ,Patient,Cordial,"Feel normal, nothing different.",No.,"I would feel fine, I am always able to explore new technologies.",Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['BERT is able to predic most of the Shakespeare quotes and often know how to continue a phrase.', 'Bert knows about how people in the different place lives, in that order of ideas, it is able to complete phrase about what is most likely to do for people in the different places.', 'BERT associations with names and careers can be discriminative.', ""It's possible to find a solution to gender correlations problems in the AI.""]","['2026-02-12 14:45:07.460523', '2026-02-12 14:47:45.703174', '2026-02-12 14:50:14.145941', '2026-02-12 14:51:58.60016']","['2026-02-12 14:45:07.460523', '2026-02-12 14:47:45.703174', '2026-02-12 14:50:14.145941', '2026-02-12 14:51:58.60016']",698de67af3d943a721f1a10c,6981f0c2f8e74fb4346c1518,APPROVED,Not Applicable,2026-02-12T14:41:09.197000Z,2026-02-12T14:55:53.712000Z,2026-03-05T00:07:39.294000Z,2026-02-12T14:55:54.488694Z,885.0,T0GCBEOZ9F,9.0,Man (including Trans Male/Trans Man),Latino/Hispanic,27,Male,Other,Colombia,Colombia,Colombia,Spanish,No,Full-Time
19,23,2026-02-12 15:48:09,2026-02-12 15:57:03,anonymous,,,Yes,No,No,I disagree,697d95a8036bee0ad31dfda0,Graduate Professional Degree,Expert,23,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Empathetic ,Sensitive,Personal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Altruistic,Insensitive,Caring,Indifferent,Personal,Judgmental,Empathetic ,Patient,Cordial,"When reading the definition of AI, I felt a mix of curiosity and reflection.  On one hand, it’s impressive to see how AI is described as systems that can perform tasks like understanding language, recognizing patterns, and generating content — things that once seemed uniquely human. That highlights how far the technology has progressed.  On the other hand, the definition also feels grounding. It reminds me that AI systems don’t truly “understand” the world the way humans do; they learn patterns from data and make predictions based on probabilities. That distinction is important, especially when thinking about bias, responsibility, and how these systems should be used.  Overall, the definition made me both excited about AI’s capabilities and thoughtful about its limitations and impact.",Yes ,"If an AI system were used to screen my job application, I would probably feel a mix of cautious optimism and concern.  On the positive side, AI screening could make the process more efficient and potentially more consistent. A well-designed system might reduce some forms of human bias, evaluate applications based on clear criteria, and process large numbers of candidates fairly.  However, I would also feel concerned about transparency and bias. I might worry about whether the system could misinterpret parts of my experience, overlook nontraditional career paths, or rely on hidden correlations (like name, background, or writing style) that could disadvantage certain applicants. It would also be frustrating if I were rejected without understanding why, especially if the reasoning isn’t explainable.  Overall, I’d feel more comfortable if:  The AI were used as a support tool rather than the sole decision-maker.  There were human oversight and review.  The process were transparent, with clear evaluation criteria.  There were safeguards against bias and discrimination.   Knowing those protections are in place would make the experience feel more fair and trustworthy.",Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['Here’s what I learned from this section:\n\nLarge language models (LLMs) enable computers to generate human-like text, write code, and even help create images from descriptions. One of the early influential models, BERT, learns language by using a training method where words in sentences are randomly hidden and the model must predict the missing words. By repeating this process millions of times on large amounts of text (like Shakespeare), the model learns patterns in language—such as which words are most likely to follow others.\n\nFor example, when given the phrase “To be or not to be, that is the _”, the model predicts “question” as the most likely word because it has learned that this is the common continuation. However, it also understands that other words like “problem” or “truth” are possible, just less likely.\n\nOverall, I learned that language models don’t memorize in a simple way—they learn statistical patterns in language that allow them to predict and generate realistic text.', 'Here’s what I learned from this section:\n\nBERT doesn’t just learn grammar — it also picks up on patterns about the world from the text it reads. For example, when completing the sentence “In Texas, they like to buy _”, it predicts things like beer, horses, or cattle because those words frequently appear in similar contexts in its training data. In contrast, for New York, it predicts clothes, books, or art.\n\nThis shows that BERT has absorbed regional patterns and associations from the data it was trained on. It doesn’t truly “know” anything the way humans do, but it learns statistical relationships between places and certain activities or products.\n\nBy examining how the probabilities of different words change depending on location, we can see that BERT has developed a kind of map of cultural and regional trends — based purely on patterns in text, not real-world experience.\n\nSo, to the extent that a model can “know” something, BERT knows patterns about where you live based on how that place is described in the data it has seen.', 'Here’s what I learned from this section:\n\nLanguage models like BERT don’t just learn neutral facts — they also learn social patterns and correlations that exist in their training data. For example, the model associates certain names with age groups (Elsie as older, Lauren as younger) and connects masculine names like Jim with traditionally male-dominated jobs more often than feminine names like Jane.\n\nSome of these correlations reflect real demographic trends. However, the concern is that when these patterns are used in real-world systems — such as hiring tools, chatbots, or loan approval software — they can reinforce or amplify social biases. A model might unintentionally assume that doctors are men or associate certain religious groups with violence because those patterns appeared in its training data.\n\nAnother key issue is explainability. It’s difficult to determine exactly why a large language model produces a specific output, which makes it hard to detect or prove discrimination in systems built on top of them.\n\nOverall, I learned that while language models are powerful, they can encode and perpetuate societal biases, and using them responsibly requires careful oversight and bias mitigation.', 'Here’s what I thought about this section:\n\nI found it interesting that reducing bias in language models can be conceptually simple — like swapping gendered words during training — but much harder in practice. The Zari approach shows that you can meaningfully shift certain correlations, such as making “doctor” equally likely to be associated with “he” or “she.” However, it also highlights how deeply embedded bias is in language and data. Simply adjusting a few examples doesn’t remove all stereotypes, especially when names, contexts, and broader social patterns still carry strong signals.\n\nIt was especially striking that bias can move rather than disappear. If we define and measure bias in one specific mathematical way, models may appear “fixed,” but stereotypes might still exist in other forms that aren’t captured by that measurement.\n\nI also found the idea of allowing models to express uncertainty compelling. Instead of forcing a definitive answer about gender or identity, a model could acknowledge ambiguity and give users control. That seems like a more transparent and responsible direction.\n\nOverall, this section reinforced that technical solutions alone aren’t enough — addressing bias in language models requires careful design, better evaluation methods, and ongoing human oversight.']","['2026-02-12 14:52:21.75388', '2026-02-12 14:53:03.079859', '2026-02-12 14:53:34.452477', '2026-02-12 14:54:07.774319']","['2026-02-12 14:52:21.75388', '2026-02-12 14:53:03.079859', '2026-02-12 14:53:34.452477', '2026-02-12 14:54:07.774319']",698dee7bf3096601cd09ca97,697d95a8036bee0ad31dfda0,APPROVED,Not Applicable,2026-02-12T15:15:17.419000Z,2026-02-12T15:17:46.432000Z,2026-03-05T00:10:01.306000Z,2026-02-12T15:17:47.303793Z,150.0,FZIYBP53M3,11.0,Man (including Trans Male/Trans Man),Rather not say,22,Male,Prefer not to say,India,India,India,Hindi,No,Other
22,26,2026-02-12 15:46:59,2026-02-12 15:57:52,anonymous,,,Yes,Yes,Yes,I agree,66c4211e6f5609658bb50633,Bachelor,Beginner knowledge,63,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Apathetic,Insensitive,Impersonal,Ignoring,Self-Serving,Cordial,Indifferent,Open-Minded,Patient,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Self-Serving,Insensitive,Ignoring,Indifferent,Impersonal,Judgmental,Apathetic,Patient,Cordial,it reïnforced my doubts about AI,"that would help, but not solve the trust issue",wary,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['AI systems are probabilistic', 'AI is probabilistic', 'AI perpetuates stereotypes ', 'eliminating bias from AI is very difficult']","['2026-02-12 14:50:12.77393', '2026-02-12 14:51:17.597534', '2026-02-12 14:53:08.051464', '2026-02-12 14:54:47.89036']","['2026-02-12 14:50:12.77393', '2026-02-12 14:51:17.597534', '2026-02-12 14:53:08.051464', '2026-02-12 14:54:47.89036']",698de7de15d1f94491608c23,66c4211e6f5609658bb50633,APPROVED,Not Applicable,2026-02-12T14:46:58.023000Z,2026-02-12T14:58:42.036000Z,2026-03-05T00:02:11.849000Z,2026-02-12T14:58:42.792292Z,705.0,9NM6ZLCQOW,422.0,Man (including Trans Male/Trans Man),White,63,Male,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
23,27,2026-02-12 15:46:48,2026-02-12 15:58:20,anonymous,,,Yes,Yes,Yes,I agree,6737449def4924366e15da55 ,Master,Conceptual understanding,49,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Altruistic,Sensitive,Caring,Responsive,Personal,Open-Minded,Empathetic ,Patient,Cordial,I felt knowledgeable ,Yes,I would not mind.,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['Large language models are helping computers to write stories and program websites.', ""There are more than 30000 words , punctuation marks and word fragments in Berts's vocabulary."", 'Bert was trained to fill in blanks in Wikipedia articles .', 'There is another version of Bert called Zari.']","['2026-02-12 14:52:03.245329', '2026-02-12 14:54:22.430832', '2026-02-12 14:55:24.487147', '2026-02-12 14:56:21.519218']","['2026-02-12 14:52:03.245329', '2026-02-12 14:54:22.430832', '2026-02-12 14:55:24.487147', '2026-02-12 14:56:21.519218']",698de7451cac1acac5d10afa,6737449def4924366e15da55,APPROVED,Not Applicable,2026-02-12T14:46:33.751000Z,2026-02-12T14:59:18.717000Z,2026-03-05T00:09:25.946000Z,2026-02-12T14:59:19.506061Z,765.0,NO6588G6RF,301.0,Man (including Trans Male/Trans Man),Black/African American,49,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
